Civilité;Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable;Télétravail
M.;Adam;Thomas;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA43813;TOSHIBA;03/03/1993;-;-;Non
Mme;Amélie;Blanchet;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA21577;TOSHIBA;08/08/2001;-;-;Non
Mme;Amélie;Fournier;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA60728;DELL;22/07/1987;-;-;Non
Mme;Amira;El-Mahdi;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA55201;TOSHIBA;29/07/1996;-;-;Non
Mme;Angéline;Lefaivre;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA21358;LENOVO;04/06/1999;-;-;Non
M.;Arjun;Patel;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA40065;DELL;03/06/2001;-;-;Non
Mme;Aurélie;Yosef;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA23575;DELL;23/08/1990;-;-;Non
Mme;Aya;Benali;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA77535;DELL;29/10/1987;-;-;Non
M.;Benjamin;Schmitt;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA33002;DELL;10/01/1986;-;-;Non
Mme;Camille;Bôrner;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA46875;LENOVO;07/06/2000;-;-;Non
Mme;Carla;Pelcaut;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA77321;DELL;07/12/1988;-;-;Non
Mme;Charlotte;Giroux;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA99876;LENOVO;14/12/1998;-;-;Non
Mme;Chloé;Recteur;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA69037;HP;01/06/1993;-;-;Non
Mme;Clara;Garcia;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA48530;LENOVO;25/12/1993;-;-;Non
M.;David;Vidal;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA59874;TOSHIBA;16/12/1985;-;-;Non
M.;Dmitri;Ivanov;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA75404;DELL;13/09/1996;-;-;Non
Mme;Elena;Sánchez;BillU;Paris;Developpement logiciel;Test et qualité;Responsable test et qualité;Sofia;Rossi;PA83940;LENOVO;23/12/1986;107161739;628631838;Non
M.;Emilien;Gerot;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA51163;LENOVO;31/07/1999;-;-;Non
Mme;Emma;Leclerc;BillU;Paris;Développement logiciel;Développement;Développeur;Hana;Kim;PA19161;LENOVO;06/09/1986;-;-;Non
Mme;Emmanuelle;Le Doux;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA95467;DELL;31/10/1982;-;-;Non
M.;Eshan;Khan;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA34827;TOSHIBA;30/01/1994;-;-;Non
M.;Esteban;Gonzàlez;2Face;Paris;Developpement logiciel;Test et qualité;Testeur;Elena;Sánchez;-;-;-;-;-;-
M.;Etienne;Legrand;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA86254;HP;02/03/2000;-;-;Non
Mme;Eva;Simonet;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA81191;LENOVO;20/01/1994;-;-;Non
M.;Fabien;Hy-D’Jykov;2Face;Paris;Developpement logiciel;Test et qualité;Testeur;Elena;Sánchez;-;-;-;177322131;619087602;-
M.;Fabien;Lecointre;2Face;Paris;Developpement logiciel;Test et qualité;Testeur;Elena;Sánchez;-;-;-;-;-;-
M.;Fabio;Romano;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA90927;HP;13/08/1995;-;-;Non
M.;Felix;Hoffmann;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA41987;HP;26/08/1987;-;-;Non
Mme;Fergie;Lork;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA79446;TOSHIBA;26/07/1996;-;-;Non
M.;Florent;Houssay;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA90613;HP;12/10/1993;-;-;Non
M.;Florian;Rellay;BillU;Paris;Developpement logiciel;Développement;Responsable developpement;Sofia;Rossi;PA33002;TOSHIBA;17/05/1991;126036632;749534624;Non
M.;Giovanni;Moretti;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA45337;TOSHIBA;16/01/1995;-;-;Non
M.;Guido;Bianchi;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA27339;LENOVO;25/09/1983;-;-;Non
M.;Guillaume;Pierre;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA74884;DELL;04/09/2001;-;-;Non
Mme;Hamza;Amari;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA10427;;28/10/1993;-;-;Non
M.;Hao;Wang;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA70346;DELL;19/07/1984;-;-;Non
Mme;Héléna;Kusmérowa;2Face;Paris;Developpement logiciel;Test et qualité;Testeur;Elena;Sánchez;-;-;-;-;-;-
M.;Henri;Lambert;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA85194;HP;06/08/1997;-;-;Non
Mme;Ines;Dupont;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA62916;LENOVO;10/10/1997;-;-;Non
Mme;Isabel;Gomez;BillU;Paris;Developpement logiciel;Recherche et Prototype;Développeur;Niko;Gruber;PA21386;HP;23/06/1984;158890916;601928581;Non
Mme;Jaxon;Dicker Brown;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA78780;DELL;04/02/1995;-;-;Non
M.;Jean;Rolland;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA43813;DELL;16/03/1997;-;-;Non
M.;Jéremy;Martelant;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA23575;LENOVO;30/06/1989;-;-;Non
Mme;Julia;Schneider;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA43252;DELL;02/09/1997;-;-;Non
M.;Julien;Lefebvre;BillU;Paris;Developpement logiciel;Recherche et Prototype;Développeur;Niko;Gruber;PA67334;LENOVO;10/12/2001;182968579;714669952;Non
M.;Kaito;Takahashi;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA92121;LENOVO;04/12/1996;-;-;Non
M.;Kevin;Dumont;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA32275;DELL;27/10/1986;-;-;Non
M.;Killian;Masson;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA34551;LENOVO;06/10/2000;-;-;Non
M.;Klaus;Becker;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA52587;LENOVO;18/07/2000;-;-;Non
Mme;Laura;Lemeunier;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA46875;HP;30/04/2001;-;-;Non
M.;Léo;Dubois;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA84928;LENOVO;07/12/1997;-;-;Non
Mme;Lina;Müller;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA25185;DELL;02/10/1992;-;-;Non
M.;Luc;Martin;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA94045;TOSHIBA;23/06/1995;-;-;Non
M.;Luca;Duval;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA18845;LENOVO;25/09/1987;-;-;Non
Mme;Marie;Dufour;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA72687;LENOVO;22/05/2000;-;-;Non
M.;Martin;Nguyen;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA57906;DELL;18/07/1998;-;-;Non
M.;Matteo;Ferrari;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA96975;DELL;23/04/1999;-;-;Non
M.;Maximilian;Wagner;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA53201;HP;29/11/1984;-;-;Non
Mme;Mia;Johnson;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA67552;DELL;07/02/1992;-;-;Non
M.;Miguel;Hernandez;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA52831;DELL;12/06/1982;-;-;Non
M.;Morgan;O'Flaherty;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA36514;DELL;22/10/1983;-;-;Non
Mme;Nadège;Rouiller;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA36514;LENOVO;05/12/1983;-;-;Non
M.;Niamh;Fitzpatrick;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA31784;TOSHIBA;11/04/1987;-;-;Non
M.;Niko;Gruber;BillU;Paris;Developpement logiciel;Recherche et Prototype;Responsable Recherche;Sofia;Rossi;PA82471;HP;17/11/1993;148808015;653178244;Non
Mme;Nina;Ledoux;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA31356;LENOVO;21/04/1998;-;-;Non
Mme;Nora;O'Sullivan;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA12745;DELL;15/01/1988;-;-;Non
M.;Norman;Robin;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA57512;HP;23/09/1993;-;-;Non
M.;Olivetti;Del Roy;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA78411;HP;20/03/1989;-;-;Non
M.;Oscar;Gautier;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA72016;HP;15/06/1990;-;-;Non
Mme;Rafaella;Martinez;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA99298;DELL;30/04/1993;-;-;Non
M.;Rémy;Leriche;2Face;Paris;Developpement logiciel;Test et qualité;Testeur;Elena;Sánchez;-;-;-;-;-;-
M.;Sacha;Sacha-David;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA31686;HP;13/08/1991;-;-;Non
M.;Sacha;Lopez;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA19651;LENOVO;10/10/1997;-;-;Non
M.;Samuel;Clement;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA45337;DELL;07/01/1992;-;-;Non
Mme;Sara;Besnheard;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA15299;HP;04/09/1988;-;-;Non
M.;Seamus;O'Connor;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA48799;HP;24/07/1987;-;-;Non
M.;Sébastien;Durand;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA27630;DELL;25/11/1993;-;-;Non
M.;Simon;Gauthier;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA28156;HP;01/11/1992;-;-;Non
Mme;Sofia;Rossi;BillU;Paris;Developpement logiciel;-;Directeur Développement logiciel;Camille;Martin;PA93655;TOSHIBA;21/09/1998;185544131;730413931;Non
Mme;Sophie;Mercier--Le-Coutourd;BillU;Paris;Developpement logiciel;Recherche et Prototype;Développeur;Niko;Gruber;PA27339;HP;11/03/1992;138775905;704209714;Non
Mme;Stéphanie;Le Kerbriault;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA42543;TOSHIBA;17/03/1983;-;-;Non
M.;Tariq;Aziz;BillU;Paris;Developpement logiciel;Test et qualité;Développeur;Elena;Sánchez;PA31010;LENOVO;12/03/1989;-;-;Non
M.;Tristan;Fontaine;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA96447;DELL;25/02/1988;-;-;Non
M.;Tristan;Le Petit;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA74440;HP;14/10/1986;-;-;Non
M.;Victor;Chevalier;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA32765;DELL;20/06/1983;-;-;Non
M.;Vincent;Gerard;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA52948;LENOVO;18/09/1988;-;-;Non
M.;Wilfried;José;BillU;Paris;Developpement logiciel;analyse et conception;Responsable analyse et conception;Sofia;Rossi;PA14433;LENOVO;29/06/1987;188064257;773629374;Non
M.;William;Lemaire;BillU;Paris;Developpement logiciel;analyse et conception;Développeur;Wilfried;José;PA45623;LENOVO;10/08/1998;-;-;Non
Mme;Yara;Abadi;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA58412;LENOVO;11/08/1985;-;-;Non
M.;Yiannis;Papadopoulos;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA57679;TOSHIBA;27/04/1991;-;-;Non
M.;Yohan;Pillet;BillU;Paris;Developpement logiciel;Développement;Développeur;Florian;Rellay;PA83956;DELL;26/12/1998;-;-;Non
M.;Youssef;Al-Masri;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA51530;HP;29/06/1983;-;-;Non
Mme;Zoe;Smith;BillU;Paris;Developpement logiciel;Développement;Développeur;Hana;Kim;PA53861;DELL;19/06/1998;-;-;Non
M.;Alexis;Bernard;BillU;Paris;Direction;-;Directeur adjoint;Camille;Martin;PA89346;DELL;11/04/1991;187246457;738812832;Non
M.;Antoine;Dubois;BillU;Paris;Direction;-;Assistant de direction;Camille;Martin;PA75792;TOSHIBA;12/12/1998;112092812;757172438;Non
Mme;Camille;Martin;BillU;Paris;Direction;-;CEO;-;;PA12959;TOSHIBA;09/05/1985;160409379;653791741;Non
M.;Aaron;Roche;BillU;Paris;DSI;Exploitation;Technicien d'exploitation;Anthony;Noel;PA76820;DELL;20/10/2001;400609816;673124437;Non
M.;Alan;Meunier;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien réseaux;Anthony;Noel;PA21577;DELL;02/08/1995;194124692;687340310;Non
M.;Anthony;Noel;BillU;Paris;DSI;-;Directeur des systèmes d'information;Camille;Martin;PA85785;DELL;31/10/1990;174752256;663073894;Non
M.;Bryan;Perez;BillU;Paris;DSI;Exploitation;Technicien d'exploitation;Anthony;Noel;PA78323;DELL;22/05/1993;131204687;664331983;Non
Mme;Ines;Roger;BillU;Paris;DSI;Exploitation;Technicien de maintenance;Anthony;Noel;PA69442;DELL;13/12/1997;490987479;617155871;Non
M.;Julien;Duran;BillU;Paris;DSI;Exploitation;Technicien de maintenance;Anthony;Noel;PA84572;DELL;01/05/1989;137916836;704153936;Non
Mme;Juliette;Roux;BillU;Paris;DSI;Développement et Intégration;Développeur;Anthony;Noel;PA73994;DELL;30/05/1985;134118694;665692415;Non
Mme;Juliette;Roy;BillU;Paris;DSI;Développement et Intégration;Développeur;Anthony;Noel;PA83956;DELL;12/11/1991;104199164;637045158;Non
Mme;Marie;Meyer;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien Systèmes;Anthony;Noel;PA33490;DELL;27/12/1997;134344137;717065142;Non
M.;Mathis;Mercier;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien réseaux;Anthony;Noel;PA30819;DELL;21/08/1993;466874640;745093669;Non
M.;Romain;Vincent;BillU;Paris;DSI;Développement et Intégration;Intégrateur;Anthony;Noel;PA52103;DELL;30/08/1987;192883550;770092044;Non
M.;Tom;Morel;BillU;Paris;DSI;Support;Hotliner;Anthony;Noel;PA32765;DELL;31/03/2001;181640031;666489658;Non
M.;Alex;Barbier;BillU;Paris;Finance et Comptabilite;Finance;Analyste financier;Yacine;Hamad;PA34551;TOSHIBA;21/10/1992;153906457;-;Non
M.;Maël;Laurent;BillU;Paris;Finance et Comptabilite;Service Comptabilite;Comptable;Yacine;Hamad;PA30790;HP;14/08/1987;157784039;-;Non
Mme;Manon;Brun;BillU;Paris;Finance et Comptabilite;Service Comptabilite;Comptable;Yacine;Hamad;PA68447;LENOVO;11/06/1998;460954183;-;Non
M.;Matteo;Simon;BillU;Paris;Finance et Comptabilite;Finance;Controleur de gestion;Yacine;Hamad;PA57512;HP;28/11/1986;175097244;-;Non
M.;Maxime;Lefebvre;BillU;Paris;Finance et Comptabilite;Service Comptabilite;Comptable;Yacine;Hamad;PA56314;DELL;26/05/2000;107939301;-;Non
Mme;Noémie;Andre;BillU;Paris;Finance et Comptabilite;Finance;Controleur de gestion;Yacine;Hamad;PA12959;TOSHIBA;05/05/1995;109401276;-;Non
M.;Quentin;Bertrand;BillU;Paris;Finance et Comptabilite;Fiscalité;Conseiller en fiscalité;Yacine;Hamad;PA31320;LENOVO;22/08/1982;483436266;-;Non
M.;Yacine;Hamad;BillU;Paris;Finance et Comptabilite;Finance;Directeur financier;Camille;Martin;PA68867;HP;18/10/1992;154314543;648462640;Non
Mme;Arielle;Leroy;BillU;Paris;QHSE;Contrôle Qualité;Responsable QHSE;Camille;Martin;PA53466;TOSHIBA;14/08/1993;187941494;718694265;Non
M.;Enzo;Petit;BillU;Paris;QHSE;Gestion environnementale;Technicien HSE;Arielle;Leroy;PA74987;LENOVO;24/10/1998;171818675;-;Non
Mme;Louise;Richard;BillU;Paris;QHSE;Certification;Auditeur;Arielle;Leroy;PA81191;LENOVO;29/05/1990;159009944;-;Non
M.;Lucas;Moraud;BillU;Paris;QHSE;Contrôle Qualité;Animateur sécurité;Arielle;Leroy;PA26363;LENOVO;28/08/1998;108552477;-;Non
M.;Arnoovik;Jlecht;BillU;Paris;Service Commercial;ADV;Gestionnaire ADV;Bastien;Lucas;PA16353;DELL;19/11/2001;124045383;763236659;Non
M.;Bastien;Lucas;BillU;Paris;Service Commercial;ADV;Responsable ADV;Pierre;David;PA16564;DELL;16/07/1988;154658546;697336293;Non
M.;Charles;Marchand;BillU;Paris;Service Commercial;Service achat;Acheteur;Kylian;Martinez;PA16013;DELL;29/04/1999;167218515;654606027;Non
M.;Dorian;Blanchard;BillU;Paris;Service Commercial;B2B;Commercial;Pierre;David;PA82880;DELL;18/08/1991;451967464;655939808;Non
M.;Dylan;Marie;BillU;Paris;Service Commercial;Service achat;Acheteur;Kylian;Martinez;PA59874;DELL;30/03/1991;113588016;690730213;Non
Mme;Jade;Lefèvre;BillU;Paris;Service Commercial;ADV;Gestionnaire ADV;Bastien;Lucas;PA64810;DELL;16/11/1984;180183734;621673896;Non
M.;Jules;Girard;BillU;Paris;Service Commercial;Service Client;Agent;Kylian;Martinez;PA39395;DELL;25/01/1985;163132039;-;Non
Mme;Julie;Francois D'Assise;BillU;Paris;Service Commercial;Service Client;Agent;Kylian;Martinez;PA79817;DELL;23/09/1994;420495759;-;Non
M.;Kylian;Martinez;BillU;Paris;Service Commercial;Service achat;Responsable achat;Pierre;David;PA19149;DELL;26/08/1988;151530426;696228844;Non
Mme;Latifa;Jean-Robert De Boisselier;BillU;Paris;Service Commercial;ADV;Gestionnaire ADV;Bastien;Lucas;PA46917;DELL;02/09/1990;114930105;739063477;Non
M.;Nathan;Dupont;BillU;Paris;Service Commercial;B2B;Commercial;Pierre;David;PA12427;DELL;01/02/1992;109336075;662152312;Non
Mme;Pauline;Lambert;BillU;Paris;Service Commercial;ADV;Gestionnaire ADV;Bastien;Lucas;PA37602;DELL;10/11/1987;158406170;606722898;Non
M.;Pierre;David;BillU;Paris;Service Commercial;-;Directeur commercial;Camille;Martin;PA90233;TOSHIBA;12/05/1997;106664984;734442721;Non
M.;Theo;Fournier-Laval;BillU;Paris;Service Commercial;B2B;Commercial;Pierre;David;PA44614;DELL;16/12/1982;181612961;703432899;Non
M.;Valentin;Bonnet;BillU;Paris;Service Commercial;B2B;Commercial;Pierre;David;PA90176;DELL;23/02/1987;439648412;799413599;Non
Mme;Célia;Da Silva;BillU;Paris;Service recrutement;-;Agent RH;Christophe;Leroux;PA66766;HP;31/07/1986;498537902;-;Non
M.;Christophe;Leroux;BillU;Paris;Service recrutement;-;Responsable recrutement;Camille;Martin;PA20618;HP;10/05/1992;163902409;784105738;Non
Mme;Mélanie;Carpentier;BillU;Paris;Service recrutement;-;Agent RH;Christophe;Leroux;PA31784;HP;09/08/1983;183765728;-;Non
M.;Eden Yagui;Yolou;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien réseaux;Anthony;Noel;PA32766;DELL;01/01/1985;123456789;667894561;Non
M.;Lassana;Camara;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien réseaux;Anthony;Noel;PA32767;DELL;01/01/1985;134567890;698745632;Non
M.;Walid;Benzai;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien réseaux;Anthony;Noel;PA32768;DELL;01/01/1985;145678912;654123642;Non
M.;Francois;Konan;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien réseaux;Anthony;Noel;PA32769;DELL;01/01/1985;156789123;701234568;Non
M.;Jessy;Fremor;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien réseaux;Anthony;Noel;PA32770;DELL;01/01/1985;167891234;745236184;Non
Mme;Elghaia;Nait Bouda;BillU;Paris;DSI;Administration Systèmes et Réseaux;Technicien réseaux;Anthony;Noel;PA32771;DELL;01/01/1985;178912345;789653241;Non

